레이어,장소명,카테고리,추천일,위도,경도,설명,예약 필요,날씨 영향,웨이팅/혼잡,Google Maps URL
"공항/이동","나리타공항 T1","공항/이동","5/30, 6/2","35.7719","140.3929","Jin Air는 나리타 T1 North Wing / 4F. 귀국일 15:30-16:00 도착 목표.","항공편/터미널 재확인","낮음","출국 2.5-3시간 여유","https://www.google.com/maps/search/?api=1&query=Narita+Airport+Terminal+1"
"교통 거점","게이세이 우에노","교통 거점","숙소 후보","35.7117","139.7734","스카이라이너 이용 시 공항 접근 우수. 우에노/닛포리 숙소면 귀국이 편함.","스카이라이너 좌석","낮음","출퇴근 시간 혼잡","https://www.google.com/maps/search/?api=1&query=Keisei+Ueno+Station"
"교통 거점","신주쿠","교통 거점","숙소 1순위","35.6896","139.7006","포케파크, 해리포터, 후지산 렌터카 픽업/반납 접근 균형이 좋음.","숙소/렌터카 조기 예약","낮음","역 구조 복잡","https://www.google.com/maps/search/?api=1&query=Shinjuku+Station"
"전망/야경","시부야 스카이","전망/야경","5/30","35.6585","139.7020","일몰/야경 핵심. 옥상은 날씨에 민감하고 반입 제한 있음.","필수: 일몰 슬롯","높음: 옥상 폐쇄 가능","인기 시간대 혼잡","https://www.google.com/maps/search/?api=1&query=SHIBUYA+SKY"
"사진","도쿄타워","사진","5/30","35.6586","139.7454","DM에서 반복된 사진 축. 시바공원/조조지/롯폰기와 묶기 좋음.","불필요","중간","야간 사진 대기","https://www.google.com/maps/search/?api=1&query=Tokyo+Tower"
"사진","시바공원/조조지","사진","5/30","35.6574","139.7482","도쿄타워 배경 사진 안정픽. 날씨 리스크가 비교적 낮음.","불필요","중간","주말 관광객","https://www.google.com/maps/search/?api=1&query=Zojoji+Temple+Tokyo"
"사진","세븐일레븐 미나토구 시바 3초메","사진","5/30","35.6518","139.7470","인스타 감성 도쿄타워 스팟. 짧게 들르는 용도.","불필요","중간","짧게 촬영","https://www.google.com/maps/search/?api=1&query=7-Eleven+Minato+Shiba+3-chome+Tokyo"
"전망/야경","롯폰기 힐스 모리타워","전망/야경","5/30","35.6604","139.7292","도쿄타워를 내려다보는 전망 후보. 시부야 스카이와 중복되므로 하나만 선택해도 됨.","권장","중간","저녁 혼잡","https://www.google.com/maps/search/?api=1&query=Roppongi+Hills+Mori+Tower"
"전망/야경","아자부다이 힐스","전망/야경","5/30","35.6602","139.7404","도쿄타워/롯폰기 사이에 넣기 좋은 도시 산책 후보.","시설별 확인","낮음","식사 시간 혼잡","https://www.google.com/maps/search/?api=1&query=Azabudai+Hills"
"테마","포케파크 칸토 / 요미우리랜드","테마","5/31 우선","35.6255","139.5171","티켓 확보 시 이번 여행의 강한 앵커. 야외/앱/한정 입장권 변수 큼.","필수: 공식 티켓/앱","높음: 야외/곤돌라","매진/한정 입장권","https://www.google.com/maps/search/?api=1&query=Pok%C3%A9Park+KANTO+Yomiuriland"
"테마","해리포터 스튜디오 투어 도쿄","테마","5/31 또는 6/1","35.7420","139.6476","실내라 비 오는 날 강력. 공식 권장 관람 3-4시간.","필수/권장: 시간권","낮음: 실내","인기 시간 매진","https://www.google.com/maps/search/?api=1&query=Warner+Bros.+Studio+Tour+Tokyo"
"테마","도쿄디즈니리조트","테마","선택 시 하루 전체","35.6329","139.8804","넣는 순간 하루가 사라지는 일정. 이번 후보들 중 우선순위 조정 필요.","필수: 파크 티켓","중간","대기/체력 소모 큼","https://www.google.com/maps/search/?api=1&query=Tokyo+Disney+Resort"
"테마","팀랩 플래닛 도쿄","테마","선택","35.6491","139.7898","DM에서 과부하 예시로 언급된 후보. 마지막 날 여러 곳과 묶기엔 위험.","권장","낮음: 실내","시간대별 혼잡","https://www.google.com/maps/search/?api=1&query=teamLab+Planets+Tokyo"
"쇼핑/가벼운 일정","아사쿠사 문화관광센터","쇼핑/가벼운 일정","6/2 후보","35.7107","139.7966","무료 전망/아사쿠사 산책. 공항 가기 전 한 곳만 볼 때 좋음.","불필요","중간","낮 시간 혼잡","https://www.google.com/maps/search/?api=1&query=Asakusa+Culture+Tourist+Information+Center"
"쇼핑/가벼운 일정","긴자 식스","쇼핑/가벼운 일정","6/2 후보","35.6697","139.7643","쇼핑/카페/선물 구매에 적합. 공항 이동 전 과소비와 시간 초과 주의.","식당은 권장","낮음","쇼핑 시간 초과 주의","https://www.google.com/maps/search/?api=1&query=GINZA+SIX"
"쇼핑/가벼운 일정","아키하바라","쇼핑/가벼운 일정","6/2 후보","35.6984","139.7730","굿즈/전자상가/가벼운 쇼핑. 우에노/닛포리 숙소와 궁합 좋음.","불필요","낮음","쇼핑 시간 제한","https://www.google.com/maps/search/?api=1&query=Akihabara+Station"
"근교","가마쿠라역","근교","6/1 대체","35.3192","139.5504","에노덴/바다/감성 산책. 후지산 흐린 날 대체로 좋음.","불필요","중간","주말 혼잡","https://www.google.com/maps/search/?api=1&query=Kamakura+Station"
"근교","에노시마","근교","6/1 대체","35.3110","139.4876","가마쿠라와 묶는 일몰 후보. 바람/비 영향.","불필요","중간-높음","일몰 전 혼잡","https://www.google.com/maps/search/?api=1&query=Enoshima+Station"
"근교","가와구치코역","근교","6/1 맑은 날","35.4982","138.7688","후지산 당일치기 기본 거점. 신주쿠에서 차로 약 1시간45분-2시간30분, 보이지 않으면 만족도 급락.","신주쿠 렌터카/주차 확인","매우 높음","주차/관광지 혼잡","https://www.google.com/maps/search/?api=1&query=Kawaguchiko+Station"
"근교","아라쿠라야마 센겐공원","근교","6/1 맑은 날","35.5013","138.8010","후지산+오층탑 사진 명소. 가와구치코에서 차로 약 15-25분.","주차장 확인","매우 높음","주차/계단/사진 대기","https://www.google.com/maps/search/?api=1&query=Arakurayama+Sengen+Park"
"근교","후지산 꿈의대교","근교","6/1 선택","35.1543","138.6876","DM 공유 사진 스팟. 가와구치코와 방향이 달라 추가 시 왕복 부담이 크게 늘어나는 선택 코스.","주차/동선 확인","매우 높음","지역 매너/주차 주의","https://www.google.com/maps/search/?api=1&query=Fujisan+Yumeno+Ohashi+Bridge"
